review_id,product_category,review_body,rating,verified,split,sentiment
R000052,Kitchen,I have used this monitor for 29 weeks now and it is unremarkable. There are better options if you can spend more.,3,False,train,neutral
R000053,Kitchen,Honestly the chair was solid for the 132 pounds I paid. It has become the one I reach for every morning.,5,True,test, positive
R000054,Office,Ordered the keyboard on a whim for 73 pounds and the finish is ordinary. About what I expected at this price.,4,False,test,neutral
R000055,Kitchen,After 16 weeks of daily use the headset still looks outstanding. Worth every bit of what I paid.,4,True,train,positive
R000056,Audio,The backpack arrived on day 7 and the build quality felt useless. Support have ignored two emails so far.,1,True,test,negative
R000057,Office,The backpack arrived on day 7 and the build quality felt useless. I would not put this in front of a guest.,1,True,test,negative
R000058,Office,I have used this toaster for 23 weeks now and it is unusable. Support have ignored two emails so far.,1,True,train,negative
R000059,Kitchen,After 5 weeks of daily use the router still looks perfect. It has survived two house moves already.,4,True,train,positive
R000060,Office,Honestly the backpack was sturdy for the 171 pounds I paid. Packaging was tidy and nothing was scratched.,4,True,test,positive
R000061,Office,Compared to the lamp it replaced 20 weeks ago this one is solid. Battery life beat what the listing promised.,2,True,train,Positive
R000062,Audio,Setup took about 59 minutes and the whole backpack felt fantastic. It has become the one I reach for every morning.,4,True,train,positive
R000063,Audio,"Great product, would buy again! Used it for 4 weeks so far.",1,True,train,negative
R000064,Audio,"Compared to the mousepad it replaced 11 weeks ago this one is ordinary. No complaints, but no enthusiasm either.",5,True,test,neutral
R000065,Audio,"I have used this kettle for 24 weeks now and it is adequate. No complaints, but no enthusiasm either.",3,False,train,positive
R000066,Kitchen,After 18 weeks of daily use the lamp still looks sturdy. My partner liked it enough to ask for one.,5,True,train,positive
R000067,Office,I have used this lamp for 4 weeks now and it is ordinary. It does what it says and nothing beyond that.,3,True,train,neutral
R000068,Audio,Compared to the monitor it replaced 6 weeks ago this one is fine. About what I expected at this price.,3,True,train,neutral
R000069,Audio,Bought the headset for my studio 15 weeks back and found it dreadful. It rattles badly whenever it is switched on.,2,True,train,negative
R000070,Office,After 25 weeks of daily use the speaker still looks brilliant. Packaging was tidy and nothing was scratched.,4,False,train,positive
R000071,Audio,Honestly the lamp was unremarkable for the 169 pounds I paid. It does what it says and nothing beyond that.,3,True,train,neutral
R000072,Kitchen,After 26 weeks of daily use the backpack still looks impressive. Battery life beat what the listing promised.,5,False,train,negative
R000073,Kitchen,Bought the mousepad for my studio 25 weeks back and found it excellent. Battery life beat what the listing promised.,5,True,train,positive
R000074,Audio,Ordered the speaker on a whim for 93 pounds and the finish is fantastic. Battery life beat what the listing promised.,4,True,train,positive
R000075,Kitchen,The speaker arrived on day 10 and the build quality felt defective. I have started a return and want my money back.,2,True,train,negative
R000076,Kitchen,I have used this lamp for 19 weeks now and it is sturdy. I would order another without thinking twice.,4,True,test,positive
R000077,Kitchen,After 3 weeks of daily use the mousepad still looks shoddy. Save your money and buy something else.,1,True,train,negative
R000078,Audio,I have used this router for 15 weeks now and it is flimsy. It rattles badly whenever it is switched on.,1,True,test,negative
R000079,Office,The kettle arrived on day 12 and the build quality felt brilliant. Battery life beat what the listing promised.,5,True,train,positive
R000080,Office,Bought the lamp for my spare room 25 weeks back and found it flawless. Packaging was tidy and nothing was scratched.,4,True,train,positive
R000081,Audio,Compared to the mousepad it replaced 22 weeks ago this one is excellent. Worth every bit of what I paid.,4,True,train,positive
R000082,Audio,Honestly the kettle was broken for the 134 pounds I paid. The listing photos do not match what turned up.,2,True,train,negative
R000083,Kitchen,Compared to the router it replaced 15 weeks ago this one is superb. Battery life beat what the listing promised.,4,True,train,positive
R000084,Kitchen,The chair arrived on day 3 and the build quality felt dreadful. It rattles badly whenever it is switched on.,2,True,train, negative
R000085,Audio,"Ordered the lamp on a whim for 34 pounds and the finish is serviceable. Fine for the money, forgettable otherwise.",3,False,train,neutral
R000086,Kitchen,The blender arrived on day 14 and the build quality felt impressive. It has survived two house moves already.,5,True,train,positive
R000087,Audio,Honestly the router was flawless for the 102 pounds I paid. Battery life beat what the listing promised.,5,True,test,positive
R000088,Kitchen,Ordered the toaster on a whim for 144 pounds and the finish is perfect. It has become the one I reach for every morning.,4,True,train,positive
R000089,Office,"Ordered the backpack on a whim for 46 pounds and the finish is adequate. It works, though the manual was useless.",3,True,train,positive
R000090,Kitchen,Honestly the monitor was impressive for the 113 pounds I paid. Worth every bit of what I paid.,5,True,train,positive
R000091,Kitchen,Bought the mousepad for my home office 14 weeks back and found it awful. I would not put this in front of a guest.,2,True,train,negative
R000092,Kitchen,"Bought the monitor for my workshop 5 weeks back and found it ordinary. It works, though the manual was useless.",3,False,test,Neutral
R000093,Office,Honestly the kettle was impressive for the 138 pounds I paid. I would order another without thinking twice.,5,True,train,Positive
R000094,Kitchen,Compared to the blender it replaced 2 weeks ago this one is sturdy. Worth every bit of what I paid.,2,True,train,positive
R000095,Office,The router arrived on day 13 and the build quality felt flawless. Packaging was tidy and nothing was scratched.,4,True,train,positive
R000096,Kitchen,The toaster arrived on day 14 and the build quality felt sturdy. It has become the one I reach for every morning.,4,True,train,positive
R000097,Office,I have used this chair for 7 weeks now and it is brilliant. I would order another without thinking twice.,5,True,train,positive
R000098,Audio,After 12 weeks of daily use the speaker still looks shoddy. It rattles badly whenever it is switched on.,2,True,train,negative
R000099,Office,Bought the blender for my home office 14 weeks back and found it fine. It sits in a drawer more often than not.,3,True,train,neutral
R000100,Kitchen,Nice product. Will buy again. Used it for 35 weeks so far.,5,True,train,positive
R000101,Audio,Ordered the backpack on a whim for 148 pounds and the finish is perfect. Packaging was tidy and nothing was scratched.,4,False,train,positive
R000102,Office,Ordered the kettle on a whim for 182 pounds and the finish is broken. I would not put this in front of a guest.,1,True,train,negative
R000103,Audio,After 13 weeks of daily use the router still looks sturdy. Support answered my question the same afternoon.,4,True,test,positive
R000104,Office,The backpack arrived on day 5 and the build quality felt okay. About what I expected at this price.,3,True,test,neutral
R000105,Kitchen,The keyboard arrived on day 4 and the build quality felt superb. Support answered my question the same afternoon.,2,True,test, positive
R000106,Office,The monitor arrived on day 8 and the build quality felt brilliant. I would order another without thinking twice.,5,True,train,positive
R000107,Office,Setup took about 49 minutes and the whole router felt fine. There are better options if you can spend more.,3,True,train,positive
R000108,Kitchen,Honestly the backpack was unusable for the 30 pounds I paid. The listing photos do not match what turned up.,1,True,train,negative
R000109,Kitchen,The kettle arrived on day 4 and the build quality felt adequate. It sits in a drawer more often than not.,3,False,train,neutral
R000110,Kitchen,The router arrived on day 12 and the build quality felt unusable. The listing photos do not match what turned up.,2,True,train,negative
R000111,Office,Setup took about 57 minutes and the whole chair felt fantastic. I would order another without thinking twice.,4,True,test,positive
R000112,Kitchen,After 12 weeks of daily use the toaster still looks broken. Save your money and buy something else.,2,True,test,negative
R000113,Kitchen,Honestly the keyboard was solid for the 60 pounds I paid. I would order another without thinking twice.,4,True,train,positive
R000114,Audio,"Honestly the blender was acceptable for the 172 pounds I paid. It works, though the manual was useless.",3,True,train,neutral
R000115,Kitchen,Compared to the chair it replaced 27 weeks ago this one is sturdy. Packaging was tidy and nothing was scratched.,5,True,test, positive
R000116,Kitchen,Ordered the kettle on a whim for 86 pounds and the finish is defective. The listing photos do not match what turned up.,5,True,train,negative
R000117,Office,After 5 weeks of daily use the mousepad still looks defective. It stopped working entirely on the fourth day.,1,True,train,negative
R000118,Kitchen,After 24 weeks of daily use the backpack still looks superb. I would order another without thinking twice.,5,True,test,positive
R000119,Audio,Does the job. No complaints. Used it for 21 weeks so far.,4,True,train,positive
R000120,Kitchen,"Does the job, no complaints here. Arrived 21 days early.",1,True,test,negative
R000121,Kitchen,The blender arrived on day 14 and the build quality felt perfect. My partner liked it enough to ask for one.,5,True,train,positive
R000122,Kitchen,After 18 weeks of daily use the speaker still looks awful. I have started a return and want my money back.,1,True,train,negative
R000123,Kitchen,Compared to the blender it replaced 15 weeks ago this one is okay. It sits in a drawer more often than not.,3,True,train,neutral
R000124,Audio,After 12 weeks of daily use the mousepad still looks brilliant. I would order another without thinking twice.,5,True,train,positive
R000125,Office,Honestly the blender was defective for the 58 pounds I paid. Mine arrived with a crack down one side.,2,True,train,negative
R000126,Kitchen,After 5 weeks of daily use the monitor still looks solid. It has become the one I reach for every morning.,5,False,train,positive
R000127,Office,The backpack arrived on day 5 and the build quality felt perfect. It has become the one I reach for every morning.,5,True,train,positive
R000128,Kitchen,I have used this monitor for 25 weeks now and it is outstanding. Support answered my question the same afternoon.,1,True,train,positive
R000129,Office,"Ordered the headset on a whim for 71 pounds and the finish is adequate. It works, though the manual was useless.",3,False,test,neutral
R000130,Office,I have used this backpack for 20 weeks now and it is defective. I have started a return and want my money back.,2,True,train,negative
R000131,Kitchen,Bought the monitor for my workshop 2 weeks back and found it outstanding. It has become the one I reach for every morning.,4,True,train,positive
R000132,Kitchen,Ordered the lamp on a whim for 165 pounds and the finish is dreadful. Save your money and buy something else.,1,False,test,negative
R000133,Kitchen,Setup took about 10 minutes and the whole chair felt fantastic. Packaging was tidy and nothing was scratched.,4,True,train,positive
R000134,Kitchen,After 3 weeks of daily use the backpack still looks adequate. It sits in a drawer more often than not.,3,False,test,neutral
R000135,Office,The lamp arrived on day 10 and the build quality felt brilliant. Packaging was tidy and nothing was scratched.,1,True,train,positive
R000136,Office,I have used this speaker for 22 weeks now and it is fantastic. It has become the one I reach for every morning.,5,True,test,positive
R000137,Audio,Setup took about 59 minutes and the whole kettle felt flimsy. It stopped working entirely on the fourth day.,5,True,train,negative
R000138,Office,Bought the headset for my home office 20 weeks back and found it superb. Worth every bit of what I paid.,4,True,train,positive
R000139,Audio,Ordered the headset on a whim for 109 pounds and the finish is awful. Support have ignored two emails so far.,1,True,test,negative
R000140,Audio,The lamp arrived on day 2 and the build quality felt sturdy. Support answered my question the same afternoon.,5,True,test,positive
R000141,Office,I have used this backpack for 19 weeks now and it is unusable. Mine arrived with a crack down one side.,4,True,train,negative
R000142,Kitchen,Ordered the toaster on a whim for 96 pounds and the finish is perfect. It has survived two house moves already.,5,True,train,positive
R000143,Kitchen,Ordered the speaker on a whim for 29 pounds and the finish is average. About what I expected at this price.,3,True,test,neutral
R000144,Office,I have used this blender for 19 weeks now and it is fantastic. Support answered my question the same afternoon.,4,False,test,positive
R000145,Audio,After 25 weeks of daily use the toaster still looks excellent. My partner liked it enough to ask for one.,4,False,train,positive
R000146,Kitchen,Bought the headset for my kitchen 11 weeks back and found it okay. It does what it says and nothing beyond that.,3,True,train,neutral
R000147,Audio,After 7 weeks of daily use the backpack still looks dreadful. It stopped working entirely on the fourth day.,2,False,train,negative
R000148,Kitchen,"I have used this backpack for 4 weeks now and it is average. It works, though the manual was useless.",3,True,train,neutral
R000149,Kitchen,After 21 weeks of daily use the headset still looks dreadful. It stopped working entirely on the fourth day.,1,True,test,negative
R000150,Kitchen,Ordered the blender on a whim for 30 pounds and the finish is outstanding. Worth every bit of what I paid.,4,True,train,positive
R000151,Office,Bought the monitor for my workshop 7 weeks back and found it flimsy. I would not put this in front of a guest.,1,True,test,negative
R000152,Audio,I have used this chair for 28 weeks now and it is cheap. Mine arrived with a crack down one side.,2,True,train,negative
R000153,Kitchen,Ordered the lamp on a whim for 129 pounds and the finish is terrible. Support have ignored two emails so far.,1,True,train,negative
R000154,Kitchen,Honestly the headset was superb for the 137 pounds I paid. Packaging was tidy and nothing was scratched.,5,True,train,positive
R000155,Kitchen,After 26 weeks of daily use the headset still looks brilliant. Worth every bit of what I paid.,5,True,train,positive
R000156,Office,Compared to the lamp it replaced 17 weeks ago this one is dreadful. It stopped working entirely on the fourth day.,2,True,test,negative
R000157,Kitchen,"After 16 weeks of daily use the monitor still looks unremarkable. No complaints, but no enthusiasm either.",2,True,test,Neutral
R000158,Kitchen,Honestly the lamp was outstanding for the 95 pounds I paid. My partner liked it enough to ask for one.,4,True,train,positive
R000159,Audio,"Setup took about 30 minutes and the whole kettle felt serviceable. Fine for the money, forgettable otherwise.",5,True,test,neutral
R000160,Audio,After 26 weeks of daily use the router still looks sturdy. My partner liked it enough to ask for one.,5,False,test,positive
R000161,Office,Bought the blender for my spare room 18 weeks back and found it passable. I neither regret it nor recommend it.,3,False,test,neutral
R000162,Office,Bought the monitor for my kitchen 2 weeks back and found it serviceable. There are better options if you can spend more.,3,True,train,neutral
R000163,Audio,After 21 weeks of daily use the monitor still looks acceptable. About what I expected at this price.,3,True,train,Neutral
R000164,Audio,I have used this keyboard for 18 weeks now and it is impressive. Battery life beat what the listing promised.,4,True,train,positive
R000165,Audio,The toaster arrived on day 13 and the build quality felt brilliant. Packaging was tidy and nothing was scratched.,4,True,test,positive
R000166,Office,"Bought the backpack for my home office 19 weeks back and found it unremarkable. It works, though the manual was useless.",3,True,train,neutral
R000167,Audio,Setup took about 9 minutes and the whole blender felt useless. It rattles badly whenever it is switched on.,1,True,train,negative
R000168,Kitchen,Setup took about 58 minutes and the whole blender felt outstanding. Packaging was tidy and nothing was scratched.,4,False,train,positive
R000169,Audio,Ordered the monitor on a whim for 106 pounds and the finish is superb. I would order another without thinking twice.,5,False,train,positive
R000170,Audio,Setup took about 32 minutes and the whole blender felt adequate. There are better options if you can spend more.,3,True,test,neutral
R000171,Office,After 23 weeks of daily use the mousepad still looks unremarkable. It does what it says and nothing beyond that.,3,True,train,neutral
R000172,Audio,Honestly the blender was dreadful for the 145 pounds I paid. I have started a return and want my money back.,1,True,test,negative
R000173,Kitchen,I have used this lamp for 6 weeks now and it is excellent. Worth every bit of what I paid.,5,True,train,positive
R000174,Kitchen,"Honestly the router was passable for the 120 pounds I paid. No complaints, but no enthusiasm either.",3,True,train,neutral
R000175,Audio,Ordered the backpack on a whim for 111 pounds and the finish is superb. Battery life beat what the listing promised.,4,True,test,positive
R000176,Audio,After 3 weeks of daily use the monitor still looks acceptable. It sits in a drawer more often than not.,3,True,train,neutral
R000177,Kitchen,"Setup took about 11 minutes and the whole mousepad felt fine. It works, though the manual was useless.",3,True,train,neutral
R000178,Kitchen,Setup took about 15 minutes and the whole chair felt dreadful. Support have ignored two emails so far.,1,True,train,negative
R000179,Kitchen,I have used this speaker for 26 weeks now and it is impressive. It has survived two house moves already.,5,False,test,positive
R000180,Office,The kettle arrived on day 10 and the build quality felt acceptable. It sits in a drawer more often than not.,3,True,train,neutral
R000181,Kitchen,Ordered the mousepad on a whim for 187 pounds and the finish is brilliant. Support answered my question the same afternoon.,4,True,train,positive
R000182,Office,Setup took about 29 minutes and the whole chair felt awful. I would not put this in front of a guest.,2,False,test,negative
R000183,Audio,Setup took about 34 minutes and the whole kettle felt unremarkable. It does what it says and nothing beyond that.,3,True,train,neutral
R000184,Kitchen,Honestly the toaster was defective for the 119 pounds I paid. The listing photos do not match what turned up.,1,True,test,negative
R000185,Office,"Honestly the monitor was average for the 100 pounds I paid. Fine for the money, forgettable otherwise.",1,True,test,neutral
R000186,Office,Ordered the speaker on a whim for 30 pounds and the finish is terrible. Support have ignored two emails so far.,1,True,train,negative
R000187,Audio,"Bought the kettle for my hallway 26 weeks back and found it acceptable. It works, though the manual was useless.",3,True,train,neutral
R000188,Kitchen,The router arrived on day 11 and the build quality felt dreadful. I would not put this in front of a guest.,2,True,train,negative
R000189,Office,The monitor arrived on day 11 and the build quality felt outstanding. Battery life beat what the listing promised.,4,True,train,positive
R000190,Audio,Setup took about 11 minutes and the whole kettle felt awful. It stopped working entirely on the fourth day.,4,True,train,negative
R000191,Audio,Honestly the speaker was brilliant for the 66 pounds I paid. Packaging was tidy and nothing was scratched.,4,False,train,positive
R000192,Office,Honestly the chair was excellent for the 131 pounds I paid. Worth every bit of what I paid.,5,True,train,positive
R000193,Audio,"After 26 weeks of daily use the headset still looks adequate. It works, though the manual was useless.",3,True,train,neutral
R000194,Office,Ordered the chair on a whim for 158 pounds and the finish is dreadful. Mine arrived with a crack down one side.,2,False,train,negative
R000195,Office,Ordered the mousepad on a whim for 63 pounds and the finish is defective. I have started a return and want my money back.,1,True,train,negative
R000196,Audio,Honestly the router was flawless for the 71 pounds I paid. It has become the one I reach for every morning.,4,False,train,positive
R000197,Audio,I have used this keyboard for 19 weeks now and it is okay. I neither regret it nor recommend it.,3,True,train,neutral
R000198,Audio,After 19 weeks of daily use the blender still looks unremarkable. About what I expected at this price.,1,True,test,neutral
R000199,Office,I have used this monitor for 6 weeks now and it is middling. I neither regret it nor recommend it.,3,False,train,neutral
R000200,Office,Ordered the speaker on a whim for 133 pounds and the finish is superb. Battery life beat what the listing promised.,5,False,train,positive
R000201,Audio,Ordered the lamp on a whim for 150 pounds and the finish is fantastic. Worth every bit of what I paid.,4,True,train,positive
R000202,Audio,"Honestly the chair was ordinary for the 170 pounds I paid. No complaints, but no enthusiasm either.",2,True,train,neutral
R000203,Office,Honestly the headset was sturdy for the 66 pounds I paid. Battery life beat what the listing promised.,5,True,train,positive
R000204,Kitchen,Bought the kettle for my workshop 13 weeks back and found it superb. It has become the one I reach for every morning.,5,True,train,positive
R000205,Audio,Bought the backpack for my spare room 5 weeks back and found it passable. About what I expected at this price.,3,True,train,neutral
R000206,Office,Honestly the router was flimsy for the 166 pounds I paid. Mine arrived with a crack down one side.,1,True,train,negative
R000207,Office,Ordered the kettle on a whim for 16 pounds and the finish is shoddy. It rattles badly whenever it is switched on.,1,True,test,negative
R000208,Audio,Good product. Would buy again. Arrived 32 days early.,3,True,train,positive
R000209,Office,After 19 weeks of daily use the backpack still looks fantastic. My partner liked it enough to ask for one.,5,True,train,positive
R000210,Audio,"Bought the lamp for my spare room 7 weeks back and found it serviceable. It works, though the manual was useless.",2,True,test,neutral
R000211,Kitchen,After 29 weeks of daily use the chair still looks perfect. Packaging was tidy and nothing was scratched.,4,True,train,positive
R000212,Audio,After 24 weeks of daily use the monitor still looks average. I neither regret it nor recommend it.,3,True,train,neutral
R000213,Office,Compared to the chair it replaced 3 weeks ago this one is cheap. It rattles badly whenever it is switched on.,1,True,train,negative
R000214,Kitchen,I have used this blender for 14 weeks now and it is terrible. Mine arrived with a crack down one side.,1,True,train,negative
R000215,Office,Setup took about 19 minutes and the whole kettle felt dreadful. Save your money and buy something else.,2,True,train,negative
R000216,Office,Honestly the monitor was broken for the 32 pounds I paid. Save your money and buy something else.,1,True,train,negative
R000217,Audio,I have used this mousepad for 19 weeks now and it is average. There are better options if you can spend more.,2,True,train,neutral
R000218,Audio,Honestly the toaster was acceptable for the 115 pounds I paid. It does what it says and nothing beyond that.,5,True,train,neutral
R000219,Office,I have used this lamp for 3 weeks now and it is impressive. It has become the one I reach for every morning.,4,True,train,positive
R000220,Kitchen,Ordered the blender on a whim for 55 pounds and the finish is flimsy. The listing photos do not match what turned up.,2,True,train,Negative
R000221,Kitchen,Compared to the blender it replaced 29 weeks ago this one is serviceable. It sits in a drawer more often than not.,3,True,train,neutral
R000222,Audio,Ordered the speaker on a whim for 147 pounds and the finish is solid. It has become the one I reach for every morning.,3,True,train,positive
R000223,Office,Compared to the toaster it replaced 14 weeks ago this one is broken. I have started a return and want my money back.,1,True,test,negative
R000224,Kitchen,Bought the speaker for my home office 26 weeks back and found it solid. My partner liked it enough to ask for one.,4,True,train,positive
R000225,Kitchen,Compared to the chair it replaced 25 weeks ago this one is superb. It has become the one I reach for every morning.,4,True,train,positive
R000226,Audio,The headset arrived on day 14 and the build quality felt impressive. I would order another without thinking twice.,5,False,train,Positive
R000227,Kitchen,The monitor arrived on day 4 and the build quality felt shoddy. I would not put this in front of a guest.,1,False,test,negative
R000228,Office,Setup took about 46 minutes and the whole kettle felt middling. It sits in a drawer more often than not.,3,True,train,neutral
R000229,Kitchen,Compared to the headset it replaced 11 weeks ago this one is cheap. Support have ignored two emails so far.,2,False,train,negative
R000230,Kitchen,Ordered the lamp on a whim for 14 pounds and the finish is middling. It sits in a drawer more often than not.,1,True,train,neutral
R000231,Audio,"I have used this mousepad for 25 weeks now and it is unremarkable. Fine for the money, forgettable otherwise.",3,True,train,neutral
R000232,Kitchen,I have used this speaker for 18 weeks now and it is perfect. It has survived two house moves already.,4,True,train, positive
R000233,Kitchen,Setup took about 36 minutes and the whole speaker felt adequate. It does what it says and nothing beyond that.,3,True,train,neutral
R000234,Office,I have used this headset for 4 weeks now and it is excellent. It has become the one I reach for every morning.,1,True,train,positive
R000235,Office,Ordered the lamp on a whim for 107 pounds and the finish is shoddy. I would not put this in front of a guest.,2,False,train,negative
R000236,Office,Good product. Would order again. Used it for 6 weeks so far.,4,False,train,positive
R000237,Kitchen,The headset arrived on day 13 and the build quality felt broken. I have started a return and want my money back.,1,False,train,negative
R000238,Office,Bought the speaker for my workshop 12 weeks back and found it cheap. The listing photos do not match what turned up.,2,True,test,neutral
R000239,Kitchen,After 13 weeks of daily use the headset still looks impressive. It has survived two house moves already.,3,True,train,positive
R000240,Audio,Setup took about 48 minutes and the whole keyboard felt middling. About what I expected at this price.,3,True,train,neutral
R000241,Office,I have used this speaker for 18 weeks now and it is broken. I would not put this in front of a guest.,1,False,train,negative
R000242,Kitchen,Setup took about 12 minutes and the whole lamp felt acceptable. It does what it says and nothing beyond that.,3,True,train,neutral
R000243,Kitchen,The lamp arrived on day 2 and the build quality felt useless. It stopped working entirely on the fourth day.,1,False,test,negative
R000244,Audio,Bought the monitor for my workshop 3 weeks back and found it flawless. My partner liked it enough to ask for one.,5,True,train,positive
R000245,Kitchen,Bought the kettle for my studio 12 weeks back and found it defective. I would not put this in front of a guest.,2,True,train,negative
R000246,Audio,Setup took about 33 minutes and the whole speaker felt brilliant. Battery life beat what the listing promised.,4,True,train,positive
R000247,Office,"Compared to the toaster it replaced 28 weeks ago this one is passable. Fine for the money, forgettable otherwise.",3,True,train,neutral
R000248,Office,I have used this router for 6 weeks now and it is okay. I neither regret it nor recommend it.,3,True,train,neutral
R000249,Office,Bought the chair for my spare room 17 weeks back and found it okay. There are better options if you can spend more.,3,True,train,neutral
R000250,Office,Bought the router for my spare room 5 weeks back and found it perfect. Battery life beat what the listing promised.,4,False,test,positive
R000251,Kitchen,Compared to the mousepad it replaced 20 weeks ago this one is broken. The listing photos do not match what turned up.,1,False,train,negative
